TraesCS2B02G436100,AP2/EREBP,0,17,-17,17
TraesCS5B02G142100,NAC,0,17,-17,17
TraesCS5A02G212800,tify,0,17,-17,17
TraesCS3D02G141200,AP2/EREBP,0,9,-9,9
TraesCS5D02G397300,ABI3/VP1,0,7,-7,7
TraesCS3A02G090300,MADS_II,0,7,-7,7
TraesCS3D02G361700,MYB-related,0,7,-7,7
TraesCS2D02G576400,NAC,0,7,-7,7
TraesCS2B02G466500,MYB-related,0,6,-6,6
TraesCS2D02G444200,MYB-related,0,6,-6,6
TraesCS6B02G341900,E2F/DP,0,5,-5,5
TraesCS6B02G210300,AP2/EREBP,0,4,-4,4
TraesCS6D02G127600,ARF,0,4,-4,4
TraesCS4A02G078700,MADS_II,0,4,-4,4
TraesCS4B02G245800,MADS_II,0,4,-4,4
TraesCS7A02G464100,NAC,0,4,-4,4
